Date,Close,Volume,Open,High,Low,RSI,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,OBV,OBV_EMA,SMA_10,SMA_50,ATR,Momentum,Williams_%R,Stochastic_%K,Stochastic_%D,SMA_20,BB_Std,BB_Upper,BB_Lower,BB_Width
2015-03-23,13.3087,39337360.0,13.2333,13.3667,13.1647,,13.3087,13.3087,0.0,0.0,0.0,0.0,0.0,13.3087,13.3087,0.20199999999999996,,-28.712871287128632,71.28712871287136,71.28712871287136,13.3087,,,,
2015-03-24,13.448,54612963.0,13.4387,13.586,13.3167,100.0,13.33013076923077,13.319018518518519,0.011112250712251637,0.0022224501424503275,0.00888980056980131,54612963.0,28671805.575000003,13.378350000000001,13.378350000000001,0.26929999999999943,,-32.755755993353844,67.24424400664616,69.26568635975876,13.378350000000001,0.09849997461928574,13.575349949238573,13.181350050761429,0.39399989847714423
2015-03-25,12.9533,85823687.0,13.218,13.2393,12.8467,21.97160883280762,13.27215680473373,13.291928257887516,-0.019771453153786922,-0.0021763305167971226,-0.0175951226369898,-31210724.0,6683299.711074107,13.236666666666666,13.236666666666666,0.39259999999999984,,-85.5809549573921,14.419045042607905,50.98347258737514,13.236666666666666,0.2550953220530192,13.746857310772704,12.726476022560629,1.020381288212075
2015-03-26,12.6937,61802729.0,12.928,12.986,12.6467,15.588630259624026,13.18316345015931,13.247615053599551,-0.06445160344024181,-0.014631385101486061,-0.04982021833875575,-93013453.0,-22097611.350561097,13.100925,13.100925,0.3393000000000015,,-94.99627382093043,5.003726179069577,28.88900507610788,13.100925,0.3421777547318554,13.78528050946371,12.41656949053629,1.3687110189274208
2015-03-27,12.3333,128948381.0,12.6047,12.6193,12.0933,11.108452950558231,13.052415227057878,13.179888012592178,-0.12747278553429986,-0.03719966518804882,-0.09027312034625104,-221961834.0,-70443066.00184329,12.947399999999998,12.947399999999998,0.5260000000000016,-0.9754000000000005,-83.92175252897434,16.078247471025662,11.833672897567714,12.947399999999998,0.4535017530285859,13.85440350605717,12.040396493942826,1.8140070121143452
2015-03-30,12.7047,150934575.0,12.39,12.8167,12.12,31.419958164144262,12.99892057674128,13.144688900548312,-0.1457683238070313,-0.05891339691184532,-0.08685492689518598,-71027259.0,-70566304.04003546,12.90695,12.90695,0.6967000000000017,-0.7432999999999996,-59.04066456756206,40.95933543243794,20.680436360844393,12.90695,0.41755034067762464,13.742050681355249,12.071849318644752,1.6702013627104968
2015-03-31,12.5847,75269212.0,12.902,12.9173,12.5607,29.259768534433405,12.935194334165699,13.103208241248437,-0.168013907082738,-0.08073349894602386,-0.08728040813671414,-146296471.0,-84885004.15343684,12.860914285714285,12.860914285714285,0.3565999999999985,-0.3686000000000007,-67.07978830307495,32.920211696925044,29.985931533462878,12.860914285714285,0.4001565294921956,13.661227344698677,12.060601226729894,1.6006261179687833
2015-04-01,12.506,56872157.0,12.58,12.82,12.4033,27.99736856531993,12.869164436601745,13.058970593748551,-0.1898061571468066,-0.10254803058618041,-0.08725812656062619,-203168628.0,-105330922.88568693,12.81655,12.81655,0.4167000000000005,-0.18769999999999953,-72.35211361961542,27.647886380384584,33.842477836582525,12.81655,0.39114668786603785,13.598843375732075,12.034256624267924,1.5645867514641516
2015-04-02,12.7333,75071092.0,12.682,12.882,12.6667,35.97543141269378,12.848262215586091,13.034846846063473,-0.18658463047738216,-0.11935535056442076,-0.0672292799129614,-128097536.0,-108982798.95253338,12.8073,12.8073,0.21529999999999916,0.40000000000000036,-57.124673410598234,42.875326589401766,34.48114155557047,12.8073,0.3669350453418155,13.54117009068363,12.073429909316369,1.4677401813672617
2015-04-06,13.54,186341457.0,13.2,13.85,13.1667,54.04639445785659,12.954683413188231,13.07226559820692,-0.11758218501868889,-0.1190007174552744,0.001418532436585504,58243921.0,-83799903.919479,12.88057,12.88057,0.6832999999999991,0.8352999999999984,-17.646723971082167,82.35327602891783,50.95882966623473,12.88057,0.4163725603350924,13.713315120670185,12.047824879329816,1.6654902413403683
